anno,presidente
1985/86,Alessandro Condini
1986/87,Alessandro Condini
1987/88,Annarosa Molinari
1988/89,Paola Matassoni
1989/90,Giorgio Bertoldi
1990/91,Giorgio Bertoldi
1991/92,Edoardo De Abbondi
1992/93,Vittorio Dusini
1993/94,Claudia Eccher
1994/95,Marco Franzinelli
1995/96,Claudia Eccher
1996/97,Giovanna Orlando
1997/98,Sonia Petteni
1998/99,Vittorio Cristanelli
1999/00,Riccardo Sampaolesi
2000/01,Alessia De Abbondi
2001/02,Lavinia Sartori
2002/03,Francesca Jerace
2003/04,Guglielmo Reina
2004/05,Maria Emanuela De Abbondi
2005/06,Sara Filippi
2006/07,Fabiola Jezza
2007/08,Alessandro Pallaoro
2008/09,Claire Albano
2009/10,Arianna Bertagnolli
2010/11,Thomas Zobele
2011/12,Andrea Codroico
2012/13,Stefano Lorenzini
2014/15,Biagio Andrea Algieri
2015/16,Davide H. Ciminelli
2016/17,Oscar Pallaoro
2017/18,Costance Giovannini
2018/19,Annalisa De Pretis
2019/20,Elisabetta Toller
2020/21,Federica Berlanda
2021/22,Jessica De Ponto
2022/23,Elisabetta Tomasi
2023/24,Lucia del Torre
2024/25,Daniele Di Lucrezia
2025/26,Matteo Bellè
2024/25,Daniele Di Lucrezia
